Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 10003.0 NA 207 348 0 82 134 NA 602 703 0 146 282 NA 2511 1803 534 251 609 NA 919 2026 611 458 721
1579388400.0 1040.0 NA 339 35 0 NA NA NA 680 90 0 NA NA NA 10606 137 109 NA NA NA 3810 215 137 NA NA
1579388400.0 123.1 295 NA NA NA NA NA 837 NA NA NA NA NA 1275 NA NA NA NA NA 1769 NA NA NA NA NA
1579388400.0 123.2 298 NA NA NA NA NA 946 NA NA NA NA NA 1406 NA NA NA NA NA 1668 NA NA NA NA NA
1579388400.0 123.3 253 NA NA NA NA NA 786 NA NA NA NA NA 1134 NA NA NA NA NA 1602 NA NA NA NA NA
1579388400.0 124.2 295 NA NA NA NA NA 932 NA NA NA NA NA 1219 NA NA NA NA NA 1580 NA NA NA NA NA
1579388400.0 124.5 291 NA NA NA NA NA 902 NA NA NA NA NA 1176 NA NA NA NA NA 1638 NA NA NA NA NA
1579388400.0 124.6 253 NA NA NA NA NA 799 NA NA NA NA NA 1143 NA NA NA NA NA 1417 NA NA NA NA NA
1579388400.0 127.0 53 103 244 NA NA NA 154 436 632 NA NA NA 817 467 1542 NA NA NA 670 354 1631 NA NA NA
1579388400.0 128.0 52 106 242 NA NA NA 140 440 588 NA NA NA 476 455 1505 NA NA NA 583 348 1570 NA NA NA
1579388400.0 1325.5 NA 156 0 NA NA NA NA 279 0 NA NA NA NA 3928 136 NA NA NA NA 3639 196 NA NA NA
1579388400.0 1329.1 NA 162 0 NA NA NA NA 311 0 NA NA NA NA 4221 124 NA NA NA NA 3750 194 NA NA NA
1579388400.0 136.7611 NA 158 0 NA NA NA NA 278 0 NA NA NA NA 4242 134 NA NA NA NA 3881 214 NA NA NA
1579388400.0 136.7721 NA 153 0 NA NA NA NA 293 0 NA NA NA NA 4026 137 NA NA NA NA 3686 199 NA NA NA
1579388400.0 136.7722 NA 149 0 NA NA NA NA 275 0 NA NA NA NA 3951 121 NA NA NA NA 3545 181 NA NA NA
1579388400.0 136.8561 NA 95 313 0 NA NA NA 192 645 0 NA NA NA 352 2367 373 NA NA NA 371 2307 428 NA NA
1579388400.0 136.8562 NA 97 312 0 NA NA NA 177 624 0 NA NA NA 233 2090 361 NA NA NA 246 2037 409 NA NA
1579388400.0 158.1 NA 212 328 0 NA NA NA 540 713 0 NA NA NA 1159 2042 542 NA NA NA 1019 2156 624 NA NA
1579388400.0 158.2 NA 208 321 0 NA NA NA 575 668 0 NA NA NA 1147 2004 539 NA NA NA 981 2122 606 NA NA
1579388400.0 158.3 NA 207 320 0 NA NA NA 545 660 0 NA NA NA 1148 2041 543 NA NA NA 1010 2228 610 NA NA
1579388400.0 20034.0 NA 298 382 0 NA NA NA 541 720 0 NA NA NA 1691 2399 523 NA NA NA 1026 2110 615 NA NA
1579388400.0 20493.52 NA 279 358 0 NA NA NA 583 656 0 NA NA NA 1546 2089 501 NA NA NA 970 2189 583 NA NA
1579388400.0 4.17 NA 29 277 0 152 NA NA 97 613 0 286 NA NA 246 2799 430 1092 NA NA 195 2076 497 897 NA
1579388400.0 4007.0 53 111 265 NA NA NA 147 489 576 NA NA NA 951 719 1541 NA NA NA 771 694 1703 NA NA NA
