Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 1.0 74 148 202 NA NA NA NA NA NA 200 581 329 NA NA NA NA NA NA 1507 386 1121 NA NA NA NA NA NA 782 413 1188 NA NA NA NA NA NA
1579388400.0 1000.0 NA 283 156 0 52 NA NA NA NA NA 464 282 0 100 NA NA NA NA NA 2344 1040 640 250 NA NA NA NA NA 1490 1004 735 267 NA NA NA NA
1579388400.0 10001.0 NA 157 348 0 70 NA NA NA NA NA 560 531 0 128 NA NA NA NA NA 535 1679 1072 222 NA NA NA NA NA 463 1873 1177 311 NA NA NA NA
1579388400.0 10002.0 NA 154 350 0 70 NA NA NA NA NA 605 547 0 134 NA NA NA NA NA 531 1696 1080 310 NA NA NA NA NA 388 2036 1190 334 NA NA NA NA
1579388400.0 10003.0 NA 158 358 0 69 NA NA NA NA NA 596 552 0 127 NA NA NA NA NA 544 1717 1079 222 NA NA NA NA NA 526 1867 1206 320 NA NA NA NA
1579388400.0 10004.0 NA 157 358 0 69 NA NA NA NA NA 602 564 0 133 NA NA NA NA NA 537 1680 1077 224 NA NA NA NA NA 530 2115 1238 324 NA NA NA NA
1579388400.0 10005.0 NA 156 351 0 70 NA NA NA NA NA 604 554 0 126 NA NA NA NA NA 561 1679 1077 313 NA NA NA NA NA 535 1928 1222 326 NA NA NA NA
1579388400.0 10008.0 NA 154 358 0 70 NA NA NA NA NA 553 542 0 123 NA NA NA NA NA 535 1733 1090 222 NA NA NA NA NA 391 2055 1203 315 NA NA NA NA
1579388400.0 10009.0 NA 156 356 0 70 NA NA NA NA NA 603 533 0 129 NA NA NA NA NA 546 1734 1079 226 NA NA NA NA NA 470 2028 1178 320 NA NA NA NA
1579388400.0 1001.0 NA 255 115 0 0 0 0 0 0 NA 377 183 0 0 0 0 0 0 NA 2151 576 86 69 106 229 110 233 NA 1525 844 152 132 172 267 156 270
1579388400.0 1002.0 NA 298 81 NA NA NA NA NA NA NA 412 134 NA NA NA NA NA NA NA 2710 342 NA NA NA NA NA NA NA 1942 206 NA NA NA NA NA NA
1579388400.0 10023.0 NA 157 354 0 69 NA NA NA NA NA 602 552 0 127 NA NA NA NA NA 535 1697 1083 292 NA NA NA NA NA 442 1921 1214 311 NA NA NA NA
1579388400.0 10024.4 NA 165 367 0 NA NA NA NA NA NA 604 566 0 NA NA NA NA NA NA 623 1901 1083 NA NA NA NA NA NA 457 1833 1181 NA NA NA NA NA
1579388400.0 10026.0 NA 174 379 0 71 NA NA NA NA NA 605 579 0 135 NA NA NA NA NA 651 2151 1114 236 NA NA NA NA NA 489 2173 1232 325 NA NA NA NA
