Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 1.0 56 80 179 NA NA NA NA NA NA 108 115 228 NA NA NA NA NA NA 2712 953 2356 NA NA NA NA NA NA 3747 1620 2764 NA NA NA NA NA NA
1579388400.0 10001.0 NA 156 318 0 73 164 NA NA NA NA 234 385 0 109 223 NA NA NA NA 2068 3955 1294 573 1325 NA NA NA NA 2207 4303 1405 668 1427 NA NA NA
1579388400.0 10003.0 NA 153 324 0 73 165 NA NA NA NA 234 387 0 109 223 NA NA NA NA 1995 3487 1131 572 1129 NA NA NA NA 2151 3672 1190 666 1243 NA NA NA
1579388400.0 10004.0 NA 150 319 0 69 161 NA NA NA NA 234 385 0 105 221 NA NA NA NA 2085 3876 1206 622 1280 NA NA NA NA 2679 4233 1275 854 1401 NA NA NA
1579388400.0 10005.0 NA 151 324 0 72 161 NA NA NA NA 234 386 0 109 221 NA NA NA NA 1862 3415 1185 593 1241 NA NA NA NA 2031 3594 1234 699 1351 NA NA NA
1579388400.0 10008.0 NA 153 326 0 76 166 NA NA NA NA 236 387 0 111 222 NA NA NA NA 2047 3673 1215 554 1111 NA NA NA NA 2211 3850 1277 640 1204 NA NA NA
1579388400.0 1001.0 NA 226 114 0 0 0 0 0 0 NA 310 152 0 0 0 0 0 0 NA 6423 1362 230 178 263 467 265 423 NA 7140 1568 262 210 292 499 307 454
1579388400.0 1002.0 NA 243 68 NA NA NA NA NA NA NA 340 108 NA NA NA NA NA NA NA 6682 953 NA NA NA NA NA NA NA 7198 992 NA NA NA NA NA NA
1579388400.0 10023.0 NA 157 322 0 87 153 NA NA NA NA 234 384 0 109 214 NA NA NA NA 2089 3964 1318 573 1345 NA NA NA NA 2708 4259 1388 657 1462 NA NA NA
1579388400.0 10024.1 NA 160 200 0 NA NA NA NA NA NA 238 236 0 NA NA NA NA NA NA 1991 1984 850 NA NA NA NA NA NA 2276 2519 903 NA NA NA NA NA
1579388400.0 10024.2 NA 157 328 0 NA NA NA NA NA NA 238 389 0 NA NA NA NA NA NA 2704 3469 1174 NA NA NA NA NA NA 3809 3725 1241 NA NA NA NA NA
1579388400.0 10024.3 NA 159 188 0 NA NA NA NA NA NA 238 225 0 NA NA NA NA NA NA 2028 1913 750 NA NA NA NA NA NA 2230 2403 805 NA NA NA NA NA
1579388400.0 10024.4 NA 160 333 0 NA NA NA NA NA NA 238 387 0 NA NA NA NA NA NA 2272 3009 964 NA NA NA NA NA NA 2625 3156 1003 NA NA NA NA NA
1579388400.0 10024.5 NA 162 85 0 NA NA NA NA NA NA 238 121 0 NA NA NA NA NA NA 2347 1443 394 NA NA NA NA NA NA 2739 1763 447 NA NA NA NA NA
1579388400.0 1003.0 NA 254 0 NA NA NA NA NA NA NA 352 0 NA NA NA NA NA NA NA 6543 900 NA NA NA NA NA NA NA 6903 958 NA NA NA NA NA NA
1579388400.0 1004.0 NA 187 93 0 0 0 0 NA NA NA 264 130 0 0 0 0 NA NA NA 2376 830 213 291 517 589 NA NA NA 3341 1051 256 327 550 689 NA NA
1579388400.0 101.0 83 NA NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA NA 2516 NA NA NA NA NA NA NA NA 3597 NA NA NA NA NA NA NA NA
1579388400.0 1010.0 NA 31 39 0 NA NA NA NA NA NA 101 75 0 NA NA NA NA NA NA 449 465 411 NA NA NA NA NA NA 865 617 614 NA NA NA NA NA
1579388400.0 102.0 87 NA NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA NA 2228 NA NA NA NA NA NA NA NA 3297 NA NA NA NA NA NA NA NA
1579388400.0 1020.0 NA 43 32 0 38 NA NA NA NA NA 112 60 0 114 NA NA NA NA NA 806 321 240 607 NA NA NA NA NA 1222 400 494 815 NA NA NA NA
1579388400.0 103.0 39 0 0 NA NA NA NA NA NA 82 0 0 NA NA NA NA NA NA 995 398 3603 NA NA NA NA NA NA 1308 641 3961 NA NA NA NA NA NA
1579388400.0 1030.0 NA 156 56 0 0 NA NA NA NA NA 240 78 0 0 NA NA NA NA NA 14424 471 104 107 NA NA NA NA NA 15207 513 164 157 NA NA NA NA
1579388400.0 1040.1 NA 62 32 0 NA NA NA NA NA NA 141 65 0 NA NA NA NA NA NA 1114 380 366 NA NA NA NA NA NA 1716 541 495 NA NA NA NA NA
1579388400.0 10424.0 NA 112 325 0 NA NA NA NA NA NA 190 383 0 NA NA NA NA NA NA 1671 3652 1001 NA NA NA NA NA NA 2040 4091 1098 NA NA NA NA NA
1579388400.0 105.0 57 83 32 NA NA NA NA NA NA 108 119 65 NA NA NA NA NA NA 2948 1159 350 NA NA NA NA NA NA 3919 1603 478 NA NA NA NA NA NA
1579388400.0 106.0 38 0 0 NA NA NA NA NA NA 82 0 0 NA NA NA NA NA NA 989 419 3849 NA NA NA NA NA NA 1224 654 5236 NA NA NA NA NA NA
1579388400.0 10802.0 NA 146 328 0 73 160 NA NA NA NA 225 387 0 109 222 NA NA NA NA 1989 3560 1153 596 1156 NA NA NA NA 2195 3769 1208 694 1241 NA NA NA
